港澳频道,#genre#
1905电影网,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
1905电影网,https://m.1905.com/m/xl/live/
1905电影网,http://cdn.jdshipin.com:8880/1905ts.php?id=1905a
1905电影网外,http://cdn.jdshipin.com:8880/1905ts.php?id=1905b
1905电影网（国内）,http://8.138.7.223/tv/1905.php?id=LIVEOYY31H24H48NE
1905国内电影台,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905国外电影台,http://php.jdshipin.com:8880/1905.php?id=1905dy2
AMC电影台,https://t.freetv.fun/live/amcdian-ying.m3u8
NOW星影,http://74.91.26.218:82/live/nowxy.m3u8
Now星影,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
TVB翡翠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9478&tk=97475bb89d45
TVB翡翠剧集台TVBDRAMA,http://cdn6.163189.xyz/163189/tvbd
TVB明珠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5300&tk=97475bb89d45
采昌影剧台,https://cdn12.178.indevs.in/163189/0a6204ed0261460c
采昌影剧台,https://t.freetv.fun/live/cai-chang-ying-ju-1.php
东森电影台,https://stream1.freetv.fun/dong-sen-dian-ying-8.ctv
靖天戏剧台,https://cdn12.178.indevs.in/163189/177d541552f78003
靖天戏剧台,https://stream1.freetv.fun/jing-tian-xi-ju-4.ctv
靖天戏剧台,https://t.freetv.fun/live/jing-tian-xi-ju-1.php
靖洋戏剧台,http://api.mytv666.top/api/hk.php?id=3339666661346639386533613638363831376163336238643537356233633165267469643d74762669643d313333
靖洋戏剧台,https://cdn12.178.indevs.in/163189/25084ef5a2662aad
靖洋戏剧台,https://stream1.freetv.fun/jing-yang-xi-ju-1.ctv
靖洋戏剧台,https://t.freetv.fun/live/jing-yang-xi-ju-1.php
龙华电影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
龙华电影台,https://cdn8.163189.xyz/163189/lhdy
龙华戏剧台,https://cdn8.163189.xyz/163189/lhxj
美亚电影台,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亚电影台,http://zjrtv.vip/live/?tbs=mydy
美亚电影台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
台湾戏剧台,http://api.mytv666.top/api/hk.php?id=3463306332643630643937393638373465353766316635323663316330353239267469643d74762669643d313332
纬来电影台,https://stream1.freetv.fun/wei-lai-dian-ying-1.m3u8
