港澳频道,#genre#
1905电影网,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
1905电影网,http://cdn.jdshipin.com:8880/1905ts.php?id=1905a
1905电影网外,http://cdn.jdshipin.com:8880/1905ts.php?id=1905b
1905电影网（国内）,http://8.138.7.223/tv/1905.php?id=LIVEOYY31H24H48NE
1905国内电影台,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905国外电影台,http://php.jdshipin.com:8880/1905.php?id=1905dy2
AMC电影台,https://cdn12.178.indevs.in/163189/0bcf9bb8c452e56a
AMC电影台,https://t.freetv.fun/live/amcdian-ying.m3u8
TVB翡翠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9478&tk=97475bb89d45
TVB翡翠剧集,https://cdn6.163189.xyz/163189/tvbd
TVB明珠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5300&tk=97475bb89d45
TVB亚洲剧,http://67.220.71.199:2347/livehttpplay?channel_id=13022
八大戏剧台,https://stream1.freetv.fun/6b1701a07ea621155cdaa9ee604b6c6ebc763093fafaf493ce7a3c2e206be799.m3u8
采昌影剧台,https://cdn12.178.indevs.in/163189/0a6204ed0261460c
东森电影台,https://stream1.freetv.fun/dong-sen-dian-ying-8.ctv
公视戏剧台,https://cdn12.178.indevs.in/163189/2973b910e7719c08
靖天电影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
靖天电影台,http://iptv.4666888.xyz/iptv2A.php?id=56
靖天戏剧台,https://cdn12.178.indevs.in/163189/177d541552f78003
靖天戏剧台,https://stream1.freetv.fun/jing-tian-xi-ju-4.ctv
靖洋戏剧台,http://iptv.4666888.xyz/iptv2A.php?id=42
靖洋戏剧台,https://cdn12.178.indevs.in/163189/25084ef5a2662aad
靖洋戏剧台,https://stream1.freetv.fun/jing-yang-xi-ju-1.ctv
龙华电影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
龙华电影台,http://cdn8.163189.xyz/163189/lhdy
龙华电影台,http://iptv.4666888.xyz/iptv2A.php?id=45
龙华电影台,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华电影台,https://stream1.freetv.fun/1178a02eb676ee58293691fdc19fed767b2dc61d866c1fee41447a8503ec0253.m3u8
龙华戏剧台,http://cdn8.163189.xyz/163189/lhxj
龙华戏剧台,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
美亚电影台,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亚电影台,http://zjrtv.vip/live/?tbs=mydy
美亚电影台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
民视影剧台,http://iptv.4666888.xyz/iptv2A.php?id=53
台湾戏剧台,http://xclasvgas.sylu.cc:8880/?token=dbm&id=litv-xinchuang22
纬来电影台,https://stream1.freetv.fun/wei-lai-dian-ying-1.m3u8
影迷数位电影台,https://cdn12.178.indevs.in/163189/a643783ec587540e
影迷数位纪实,http://220.135.64.124:5050/litv-ftv15/index.m3u8?proxy=true
影迷数位纪实,https://litv.tzh911.qzz.io/litv.php?id=litv-ftv15&token=https://t.me/GPT_858
影迷心公社,https://live.ottiptv.cc/huya/30522289
CCTV6,http://8.138.7.223/tv/1905.php?id=LIVE3YPYZ30E7V1R0
1905流金岁月,https://cdn.jdshipin.com/1905.php
AXN,http://aktv.top/AKTV/live/aktv2/axn/AKTV.m3u8
KAMCTVABC28LubbockTX,http://s.rocketdns.info:8080/live/Z3nXfkOnf0/Madt8rUvmN/38303.ts
TVB翡翠,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
TVB翡翠4K,https://o11.163189.xyz/stream/tvb/fct4k/
TVB翡翠广电,https://cdn6.163189.xyz/163189/fct
TVB翡翠台1080P,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
TVB翡翠台4K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
TVB翡翠台（备用）,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
TVB华丽翡翠,https://cdn6.163189.xyz/163189/jade
TVB华丽翡翠,https://o11.163189.xyz/stream/live/hlt/
TVB华丽翡翠新加坡,https://o11.163189.xyz/stream/live/jade/
